1.253036989744138907e+00,8.219608982811364983e-01,8.773971274114157337e-01
1.232535329916259137e+00,6.915656919353925236e-01,8.876419253791972830e-01
5.643835450093601658e-01,1.185053200052689881e+00,1.447821514006370380e+00
8.636141325159168991e-01,8.986310818958540558e-01,1.575770819382477761e+00
8.583452177018668916e-01,1.388844492148682885e+00,1.981494543365022620e+00
5.927384578010861382e-01,1.413947324746882561e+00,6.894617171002772604e-01
8.222670325223399024e-01,1.425400919270892963e+00,6.068936745038926439e-01
7.483288221465830281e-01,6.938037439745968760e-01,1.560162560479754434e+00
7.673374094145090085e-01,1.059135719550438504e+00,1.116231487260080923e+00
1.345314266049898677e+00,5.421034859631448377e-01,1.938553281634709968e+00
1.345817313597420739e+00,1.243873785866858039e+00,5.811853936949842314e-01
1.084757592425115158e+00,7.217505958174862402e-01,1.245641139180119872e+00
1.446807136341302424e+00,1.370859001503414332e+00,7.542980453990482115e-01
1.219025187425992085e+00,1.411957513679915177e+00,1.478649874818007026e+00
5.373624569998438627e-01,9.966823965002332697e-01,1.635606485130807197e+00
7.735587808396097165e-01,1.485807183855807345e+00,5.615173711163190529e-01
1.417557911498555256e+00,1.406829534057851383e+00,1.053469465699857999e+00
1.476703511828438176e+00,1.199744330475474907e+00,9.947436876206393608e-01
1.196226648211817789e+00,9.802926725392946405e-01,8.579336930840868458e-01
1.167239127626425343e+00,1.434050594710992943e+00,1.433252122658635219e+00
1.072613317921224274e+00,1.217034406079432696e+00,1.678762704335673872e+00
9.287629942337318756e-01,1.333707704343282785e+00,1.661123309671988846e+00
1.404752742322799897e+00,5.161752460104374052e-01,1.845051610289199395e+00
1.085575784373522090e+00,7.173724079695901201e-01,6.215844890595405570e-01
6.389600979782896761e-01,7.518097941610579760e-01,8.742496753980097957e-01
6.371437680327209918e-01,1.152370450388306100e+00,9.422088695151792370e-01
6.575693709731307290e-01,8.905240610516368394e-01,8.902773195584475774e-01
5.420299852700420917e-01,6.035671320446768240e-01,1.092037185824730638e+00
1.122400682233259506e+00,9.718820979066686849e-01,9.880351365461268465e-01
5.694696527188626289e-01,1.287175836117555594e+00,9.456675146097781592e-01
9.607127132102060152e-01,9.773886286542062818e-01,1.225628825248047615e+00
6.511952803077736274e-01,7.933879621067799759e-01,1.924139757464789824e+00
1.212506959676743268e+00,1.360898584589001370e+00,5.586831156398678333e-01
1.411889854317672111e+00,8.840065768892507725e-01,2.716696642314001320e+00
1.352207304304048119e+00,5.752169082617081264e-01,5.578968714561208797e-01
7.219977439669625907e-01,9.163450597851707791e-01,8.712074653196236751e-01
1.178962429759344177e+00,6.106449722520983503e-01,7.379907230342005464e-01
9.380000013668493564e-01,1.262182974399195690e+00,2.159097357955109597e+00
1.066126811566157295e+00,1.496401693878832262e+00,1.694877093119924183e+00
1.197472410320967739e+00,7.489702182616507775e-01,1.002690947434457636e+00
7.291322848710339866e-01,5.809358301979651307e-01,7.351757261096367735e-01
5.073460344404175926e-01,1.117612732293667310e+00,1.006255133930659573e+00
1.076094465453919735e+00,5.990125064203558614e-01,1.254721619562114254e+00
1.074590207389654717e+00,1.379045841223504487e+00,7.945816066107977971e-01
1.470087793545915122e+00,6.697612393751840587e-01,9.501490682199977833e-01
9.101449231087108682e-01,9.629375785837687163e-01,6.095629890636889980e-01
1.252948371639445835e+00,1.271653552800667608e+00,1.398142646672894340e+00
1.003302279570240874e+00,1.437382679383186534e+00,4.636991919863504008e-01
6.907396461093904261e-01,1.368940147311274558e+00,1.117949717854202163e+00
1.472003537301831866e+00,5.157881047106456229e-01,7.639649413037766790e-01
1.170162338515817968e+00,9.420356464542812835e-01,5.588648501703074034e-01
5.261219451128762437e-01,1.083877217012203076e+00,1.139592362783918400e+00
6.519733244485969026e-01,9.466141998563258886e-01,9.355256852871284279e-01
1.399929367565617255e+00,6.434280741835736173e-01,8.029912543770668654e-01
6.798121171871256418e-01,7.322952226624794836e-01,9.351373302816836652e-01
6.072144611428653693e-01,8.799416559402353233e-01,1.528942709309052628e+00
9.460155422838213424e-01,1.254886665780456712e+00,1.204763174541506165e+00
8.691233087580156891e-01,9.364360864387267780e-01,2.249110473682014444e+00
1.087956055387029997e+00,1.263369367391602882e+00,9.242069355544560993e-01
9.534839125155725181e-01,7.908470338651253373e-01,6.231583568180489863e-01
5.685753309167318470e-01,1.329992364130293758e+00,7.884278160305762118e-01
9.985535493546197072e-01,6.148598811834232736e-01,1.402790604450606216e+00
1.454581244554191244e+00,9.033801349907264466e-01,2.299537172423257392e+00
1.365322639080692291e+00,7.905109391126758922e-01,2.306689337549879593e+00
1.226961026416164557e+00,1.220025777687962609e+00,5.414260690606068627e-01
1.083252243236926926e+00,1.239108907497699308e+00,6.884910729707232058e-01
1.213952349155402954e+00,6.501397922274976260e-01,1.341611913050019478e+00
